_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-8.3,L1k:230456,M1,1,0,L1000 Lgnd,94,Lgnd:CMAP-CYT-T2702:UMOD@PC3@250ng/mL:2h (DN),,-8.3,5,8,10173,100,383,19,5,1.1,128|211|1738|2806|3157|4719|4723|5188|5223|7298|7306|7358|10063|22934|51382|54205|55256|55748|65057,ADH5|ALAS1|DLD|GOT2|HMGCS1|NDUFS1|NDUFV1|GATB|PGAM1|TYMS|TYRP1|UGDH|COX17|RPIA|ATP6V1D|CYCS|ADI1|CNDP2|ACD,-4.4,0
1,-6.1,L1k:225225,M1,1,0,L1000 Lgnd,94,Lgnd:CCL3:CCL3@VCAP@15ng/mL:4h (DN),,-6.1,4.2,6.5,10173,100,383,16,4.2,1,513|1340|4128|4704|5437|5438|5441|7167|8560|9588|10195|10423|22934|26227|51495|54205,ATP5F1D|COX6B1|MAOA|NDUFA9|POLR2H|POLR2I|POLR2L|TPI1|DEGS1|PRDX6|ALG3|CDIPT|RPIA|PHGDH|HACD3|CYCS,-3.1,0
1,-6.1,L1k:227644,M1,1,0,L1000 Lgnd,94,Lgnd:CMAP-CYT-N8768:NPPC@HT29@1ng/mL:4h (DN),,-6.1,4.2,6.5,10173,100,383,16,4.2,1,1738|1854|2673|3157|4144|4698|4719|4942|7358|8818|23659|23761|51382|51495|54205|65057,DLD|DUT|GFPT1|HMGCS1|MAT2A|NDUFA5|NDUFS1|OAT|UGDH|DPM2|PLA2G15|PISD|ATP6V1D|HACD3|CYCS|ACD,-3.1,0
1,-6.1,L1k:228730,M1,1,0,L1000 Lgnd,94,Lgnd:CMAP-CYT-SRP3082:IL17D@VCAP@20ng/mL:2h (DN),,-6.1,4.2,6.5,10173,100,383,16,4.2,1,501|533|1738|2224|3156|3157|4144|4247|4724|5223|5438|6392|10476|51382|54107|54205,ALDH7A1|ATP6V0B|DLD|FDPS|HMGCR|HMGCS1|MAT2A|MGAT2|NDUFS4|PGAM1|POLR2I|SDHD|ATP5PD|ATP6V1D|POLE3|CYCS,-3.1,0
1,-6.1,L1k:233509,M1,1,0,L1000 Lgnd,94,Lgnd:MMP12:MMP12@HEPG2@5ng/mL:2h (DN),,-6.1,4.2,6.5,10173,100,383,16,4.2,1,128|1119|1340|2181|2762|2937|3417|3612|3939|4723|4728|5435|6184|6675|7371|22934,ADH5|CHKA|COX6B1|ACSL3|GMDS|GSS|IDH1|IMPA1|LDHA|NDUFV1|NDUFS8|POLR2F|RPN1|UAP1|UCK2|RPIA,-3.1,0
1,-5.7,L1k:225127,M1,1,0,L1000 Lgnd,94,Lgnd:CCL23:CCL23@MCF7@50ng/mL:2h (DN),,-5.7,5.3,6.6,10173,60,383,12,3.1,0.89,516|2954|3157|3251|4860|5431|6390|7358|10063|51495|51604|55748,ATP5MC1|GSTZ1|HMGCS1|HPRT1|PNP|POLR2B|SDHB|UGDH|COX17|HACD3|PIGT|CNDP2,-2.8,0
1,-5.5,L1k:232659,M1,1,0,L1000 Lgnd,94,Lgnd:IGF1:IGF1@HCC515@5ng/mL:2h (DN),,-5.5,4.1,6,10173,98,383,15,3.9,0.99,128|501|1340|2531|2821|2954|4723|5226|5279|5438|5439|7167|7298|51218|80142,ADH5|ALDH7A1|COX6B1|KDSR|GPI|GSTZ1|NDUFV1|PGD|PIGC|POLR2I|POLR2J|TPI1|TYMS|GLRX5|PTGES2,-2.7,0
1,-5.4,L1k:228458,M1,1,0,L1000 Lgnd,94,Lgnd:CMAP-CYT-SRP3064:IGFBP4@PC3@100ng/mL:4h (DN),,-5.4,6.8,6.8,10173,35,383,9,2.3,0.77,1738|3251|5033|5223|5440|7167|7358|54205|65057,DLD|HPRT1|P4HA1|PGAM1|POLR2K|TPI1|UGDH|CYCS|ACD,-2.7,0
1,-5.3,L1k:226711,M1,1,0,L1000 Lgnd,94,Lgnd:CMAP-CYT-G0657:CXCL1@MCF7@50ng/mL:4h (DN),,-5.3,4,5.9,10173,100,383,15,3.9,0.99,128|218|1340|2539|2821|3157|4191|4694|5226|5438|7264|8566|10423|29796|51218,ADH5|ALDH3A1|COX6B1|G6PD|GPI|HMGCS1|MDH2|NDUFA1|PGD|POLR2I|GFUS|PDXK|CDIPT|UQCR10|GLRX5,-2.7,0
1,-5.3,L1k:227061,M1,1,0,L1000 Lgnd,94,Lgnd:CMAP-CYT-I4401:IFNA13@A549@0.5ng/mL:4h (DN),,-5.3,4,5.9,10173,100,383,15,3.9,0.99,38|516|1340|1537|3251|4694|4860|7386|10063|22934|29880|51218|54205|54995|57016,ACAT1|ATP5MC1|COX6B1|CYC1|HPRT1|NDUFA1|PNP|UQCRFS1|COX17|RPIA|ALG5|GLRX5|CYCS|OXSM|AKR1B10,-2.7,0
1,-5.3,L1k:234515,M1,1,0,L1000 Lgnd,94,Lgnd:TNFRSF17:TNFRSF17@HCC515@50ng/mL:2h (DN),,-5.3,4,5.9,10173,100,383,15,3.9,0.99,128|191|1719|1841|4713|5033|5223|5230|6120|7167|7298|7358|7372|51218|55256,ADH5|AHCY|DHFR|DTYMK|NDUFB7|P4HA1|PGAM1|PGK1|RPE|TPI1|TYMS|UGDH|UMPS|GLRX5|ADI1,-2.7,0
1,-4.7,L1k:224889,M1,1,0,L1000 Lgnd,94,Lgnd:BMP7:BMP7@VCAP@100ng/mL:4h (DN),,-4.7,3.7,5.4,10173,100,383,14,3.7,0.96,218|533|1329|1340|4128|4144|4860|5438|6184|8310|9533|29880|51495|84890,ALDH3A1|ATP6V0B|COX5B|COX6B1|MAOA|MAT2A|PNP|POLR2I|RPN1|ACOX3|POLR1C|ALG5|HACD3|ADO,-2.3,0
1,-4.7,L1k:225001,M1,1,0,L1000 Lgnd,94,Lgnd:CCL16:CCL16@VCAP@100ng/mL:4h (DN),,-4.7,3.7,5.4,10173,100,383,14,3.7,0.96,471|528|533|1431|1603|2954|4144|4719|5440|6184|6390|51495|54205|55256,ATIC|ATP6V1C1|ATP6V0B|CS|DAD1|GSTZ1|MAT2A|NDUFS1|POLR2K|RPN1|SDHB|HACD3|CYCS|ADI1,-2.3,0
1,-4.7,L1k:226767,M1,1,0,L1000 Lgnd,94,Lgnd:CMAP-CYT-G1667:TNFRSF18@PC3@1000ng/mL:4h (DN),,-4.7,3.7,5.4,10173,100,383,14,3.7,0.96,128|353|533|2987|3157|4144|5438|5441|7358|22934|25796|54205|55748|79717,ADH5|APRT|ATP6V0B|GUK1|HMGCS1|MAT2A|POLR2I|POLR2L|UGDH|RPIA|PGLS|CYCS|CNDP2|PPCS,-2.3,0
1,-4.7,L1k:227672,M1,1,0,L1000 Lgnd,94,Lgnd:CMAP-CYT-O6379:OXT@A549@2ng/mL:4h (DN),,-4.7,3.7,5.4,10173,100,383,14,3.7,0.96,128|501|1738|3251|4700|4706|4724|6390|7086|7358|9588|51382|54205|57016,ADH5|ALDH7A1|DLD|HPRT1|NDUFA6|NDUFAB1|NDUFS4|SDHB|TKT|UGDH|PRDX6|ATP6V1D|CYCS|AKR1B10,-2.3,0
1,-4.7,L1k:228544,M1,1,0,L1000 Lgnd,94,Lgnd:CMAP-CYT-SRP3069:IGF1@HT29@5ng/mL:4h (DN),,-4.7,3.7,5.4,10173,100,383,14,3.7,0.96,1738|1841|3157|3628|5223|5438|5441|6117|6185|7358|22934|51082|54205|55256,DLD|DTYMK|HMGCS1|INPP1|PGAM1|POLR2I|POLR2L|RPA1|RPN2|UGDH|RPIA|POLR1D|CYCS|ADI1,-2.3,0
1,-4.7,L1k:229398,M1,1,0,L1000 Lgnd,94,Lgnd:CMAP-CYT-SRP3184:VEGFC@A375@200ng/mL:4h (DN),,-4.7,3.7,5.4,10173,100,383,14,3.7,0.96,262|533|2023|2762|3157|3612|4351|5422|6117|6723|10622|55256|55748|84890,AMD1|ATP6V0B|ENO1|GMDS|HMGCS1|IMPA1|MPI|POLA1|RPA1|SRM|POLR3G|ADI1|CNDP2|ADO,-2.3,0
1,-4.7,L1k:230588,M1,1,0,L1000 Lgnd,94,Lgnd:CMAP-CYT-T7924:TGFA@A549@10ng/mL:4h (DN),,-4.7,3.7,5.4,10173,100,383,14,3.7,0.96,210|218|1340|1738|2720|2954|4702|5438|7086|7358|10195|54205|55256|57016,ALAD|ALDH3A1|COX6B1|DLD|GLB1|GSTZ1|NDUFA8|POLR2I|TKT|UGDH|ALG3|CYCS|ADI1|AKR1B10,-2.3,0
1,-4.7,L1k:230920,M1,1,0,L1000 Lgnd,94,Lgnd:CMAP-L174:IL1@MCF10A@1ng/uL:24h (DN),,-4.7,3.7,5.4,10173,100,383,14,3.7,0.96,513|2582|4704|5236|5438|5441|6184|6709|7167|10195|23463|29796|29929|51082,ATP5F1D|GALE|NDUFA9|PGM1|POLR2I|POLR2L|RPN1|SPTAN1|TPI1|ALG3|ICMT|UQCR10|ALG6|POLR1D,-2.3,0
1,-4.6,L1k:228246,M1,1,0,L1000 Lgnd,94,Lgnd:CMAP-CYT-SRP3044:FLT3LG@A375@25ng/mL:4h (DN),,-4.6,6.4,6.2,10173,33,383,8,2.1,0.73,1738|3157|5223|5230|6389|7386|23659|79888,DLD|HMGCS1|PGAM1|PGK1|SDHA|UQCRFS1|PLA2G15|LPCAT1,-2.2,0
1,-4.5,L1k:226485,M1,1,0,L1000 Lgnd,94,Lgnd:CMAP-CYT-F4021:FSHB@A549@15ng/mL:4h (DN),,-4.5,4.4,5.5,10173,66,383,11,2.9,0.85,501|847|1738|3422|5373|5434|5440|7086|22934|54205|55256,ALDH7A1|CAT|DLD|IDI1|PMM2|POLR2E|POLR2K|TKT|RPIA|CYCS|ADI1,-2.1,0
1,-4.5,L1k:232913,M1,1,0,L1000 Lgnd,94,Lgnd:IL17:IL17@HA1E@20ng/mL:2h (DN),,-4.5,3.8,5.3,10173,91,383,13,3.4,0.93,128|501|1537|2582|2744|3157|5289|7167|7298|7358|8733|10476|55163,ADH5|ALDH7A1|CYC1|GALE|GLS|HMGCS1|PIK3C3|TPI1|TYMS|UGDH|GPAA1|ATP5PD|PNPO,-2.1,0
1,-4.2,L1k:234271,M1,1,0,L1000 Lgnd,94,Lgnd:SST:SST@A549@10ng/mL:2h (DN),,-4.2,8,6.2,10173,20,383,6,1.6,0.63,1738|2582|3157|4860|5373|55748,DLD|GALE|HMGCS1|PNP|PMM2|CNDP2,-1.9,0
1,-4.1,L1k:225283,M1,1,0,L1000 Lgnd,94,Lgnd:CCL5:CCL5@HEPG2@100ng/mL:2h (DN),,-4.1,10,6.6,10173,13,383,5,1.3,0.58,47|501|2805|5223|51382,ACLY|ALDH7A1|GOT1|PGAM1|ATP6V1D,-1.9,0
1,-4,L1k:225333,M1,1,0,L1000 Lgnd,94,Lgnd:CHGA:CHGA@HT29@100ng/mL:2h (DN),,-4,3.5,4.9,10173,100,383,13,3.4,0.93,128|1737|1738|3145|3157|3422|4706|5289|6392|7358|8813|22934|51495,ADH5|DLAT|DLD|HMBS|HMGCS1|IDI1|NDUFAB1|PIK3C3|SDHD|UGDH|DPM1|RPIA|HACD3,-1.9,0
