_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-43,C0025521,M1,1,0,DisGeNET,35,Inborn Errors of Metabolism,,-43,21,28,30182,119,487,41,8.4,1.3,34|38|95|158|189|440|445|1719|1806|2184|2539|2582|2592|2639|2710|2720|2744|2819|3081|3145|3251|3704|4338|4524|4598|4942|5009|5053|5160|5373|5662|6821|6898|7086|7167|7390|8879|23417|26275|64902|440138,ACADM|ACAT1|ACY1|ADSL|AGXT|ASNS|ASS1|DHFR|DPYD|FAH|G6PD|GALE|GALT|GCDH|GK|GLB1|GLS|GPD1|HGD|HMBS|HPRT1|ITPA|MOCS2|MTHFR|MVK|OAT|OTC|PAH|PDHA1|PMM2|PSD|SUOX|TAT|TKT|TPI1|UROS|SGPL1|MLYCD|HIBCH|AGXT2|ALG11,-38,0
1,-41,C0085584,M1,1,0,DisGeNET,35,Encephalopathies,,-41,8.8,22,30182,457,487,65,13,1.5,95|275|440|445|498|513|514|590|1352|1355|1371|1537|1738|2271|2639|2643|2653|2731|2752|2806|2875|3145|3155|3704|4141|4190|4512|4513|4514|4519|4535|4536|4537|4694|4700|4715|4716|4719|4723|4724|4726|4728|4729|5009|5277|5813|6389|6709|7298|7360|8772|8802|8867|11019|26227|26275|27010|27235|29968|51604|54802|55163|79947|132158|374291,ACY1|AMT|ASNS|ASS1|ATP5F1A|ATP5F1D|ATP5F1E|BCHE|COX10|COX15|CPOX|CYC1|DLD|FH|GCDH|GCH1|GCSH|GLDC|GLUL|GOT2|GPT|HMBS|HMGCL|ITPA|MARS1|MDH1|COX1|COX2|COX3|CYTB|ND1|ND2|ND3|NDUFA1|NDUFA6|NDUFB9|NDUFB10|NDUFS1|NDUFV1|NDUFS4|NDUFS6|NDUFS8|NDUFV2|OTC|PIGA|PURA|SDHA|SPTAN1|TYMS|UGP2|FADD|SUCLG1|SYNJ1|LIAS|PHGDH|HIBCH|TPK1|COQ2|PSAT1|PIGT|TRIT1|PNPO|DHDDS|GLYCTK|NDUFS7,-37,0
1,-40,C0001125,M1,1,0,DisGeNET,35,"Acidosis, Lactic",,-40,14,25,30182,209,487,48,9.9,1.4,501|513|514|593|594|1340|1352|1355|1537|1629|1737|1738|2203|2271|2954|4512|4513|4514|4519|4535|4536|4537|4694|4698|4700|4715|4716|4719|4723|4724|4726|4728|4729|5091|5160|5162|5256|5742|6389|7381|7386|8802|8803|11019|23417|27010|27235|374291,ALDH7A1|ATP5F1D|ATP5F1E|BCKDHA|BCKDHB|COX6B1|COX10|COX15|CYC1|DBT|DLAT|DLD|FBP1|FH|GSTZ1|COX1|COX2|COX3|CYTB|ND1|ND2|ND3|NDUFA1|NDUFA5|NDUFA6|NDUFB9|NDUFB10|NDUFS1|NDUFV1|NDUFS4|NDUFS6|NDUFS8|NDUFV2|PC|PDHA1|PDHB|PHKA2|PTGS1|SDHA|UQCRB|UQCRFS1|SUCLG1|SUCLA2|LIAS|MLYCD|TPK1|COQ2|NDUFS7,-36,0
1,-38,C0042963,M1,1,0,DisGeNET,35,Vomiting,,-38,11,22,30182,303,487,53,11,1.4,34|38|95|210|435|445|551|593|594|847|1371|1629|1738|2203|2582|2592|2639|2875|3141|3145|3155|3251|3712|3988|4351|4535|4536|4537|4598|4694|4700|4715|4716|4719|4723|4724|4726|4728|4729|5009|5373|5498|5644|5832|6240|8694|10195|23417|26227|26275|79053|374291|440138,ACADM|ACAT1|ACY1|ALAD|ASL|ASS1|AVP|BCKDHA|BCKDHB|CAT|CPOX|DBT|DLD|FBP1|GALE|GALT|GCDH|GPT|HLCS|HMBS|HMGCL|HPRT1|IVD|LIPA|MPI|ND1|ND2|ND3|MVK|NDUFA1|NDUFA6|NDUFB9|NDUFB10|NDUFS1|NDUFV1|NDUFS4|NDUFS6|NDUFS8|NDUFV2|OTC|PMM2|PPOX|PRSS1|ALDH18A1|RRM1|DGAT1|ALG3|MLYCD|PHGDH|HIBCH|ALG8|NDUFS7|ALG11,-34,0
1,-36,C0019209,M1,1,0,DisGeNET,35,Hepatomegaly,,-36,7.6,19,30182,523,487,64,13,1.5,34|38|51|100|435|445|501|549|1340|1352|1371|1719|1738|2184|2203|2582|2592|2639|2720|2819|3067|3155|3988|4141|4351|4508|4535|4536|4537|4598|4668|4669|4694|4700|4715|4716|4719|4723|4724|4726|4728|4729|5091|5256|5373|5424|7012|7381|7841|8813|8818|22845|51218|56052|79053|79158|79796|79868|79947|85365|93183|94005|138050|374291,ACADM|ACAT1|ACOX1|ADA|ASL|ASS1|ALDH7A1|AUH|COX6B1|COX10|CPOX|DHFR|DLD|FAH|FBP1|GALE|GALT|GCDH|GLB1|GPD1|HDC|HMGCL|LIPA|MARS1|MPI|ATP6|ND1|ND2|ND3|MVK|NAGA|NAGLU|NDUFA1|NDUFA6|NDUFB9|NDUFB10|NDUFS1|NDUFV1|NDUFS4|NDUFS6|NDUFS8|NDUFV2|PC|PHKA2|PMM2|POLD1|TERC|UQCRB|MOGS|DPM1|DPM2|DOLK|GLRX5|ALG1|ALG8|GNPTAB|ALG9|ALG13|DHDDS|ALG2|PIGM|PIGS|HGSNAT|NDUFS7,-33,0
1,-34,C0023264,M1,1,0,DisGeNET,35,Leigh Disease,,-34,16,24,30182,144,487,38,7.8,1.2,514|522|1352|1355|1371|1738|4508|4512|4514|4519|4535|4536|4537|4694|4695|4698|4704|4719|4723|4724|4726|4728|4729|4967|5160|5162|5226|6389|6390|7086|7306|8802|8803|11019|26275|27010|55967|374291,ATP5F1E|ATP5PF|COX10|COX15|CPOX|DLD|ATP6|COX1|COX3|CYTB|ND1|ND2|ND3|NDUFA1|NDUFA2|NDUFA5|NDUFA9|NDUFS1|NDUFV1|NDUFS4|NDUFS6|NDUFS8|NDUFV2|OGDH|PDHA1|PDHB|PGD|SDHA|SDHB|TKT|TYRP1|SUCLG1|SUCLA2|LIAS|HIBCH|TPK1|NDUFA12|NDUFS7,-31,0
1,-34,C0023380,M1,1,0,DisGeNET,35,Lethargy,,-34,15,23,30182,160,487,39,8,1.2,34|275|435|445|513|551|593|594|1629|1738|1806|1807|2203|2592|2643|2653|2710|2731|3141|3145|3155|3712|4535|4536|4537|4694|4700|4715|4716|4719|4723|4724|4726|4728|4729|5009|5160|5813|374291,ACADM|AMT|ASL|ASS1|ATP5F1D|AVP|BCKDHA|BCKDHB|DBT|DLD|DPYD|DPYS|FBP1|GALT|GCH1|GCSH|GK|GLDC|HLCS|HMBS|HMGCL|IVD|ND1|ND2|ND3|NDUFA1|NDUFA6|NDUFB9|NDUFB10|NDUFS1|NDUFV1|NDUFS4|NDUFS6|NDUFS8|NDUFV2|OTC|PDHA1|PURA|NDUFS7,-30,0
1,-34,C0013421,M1,1,0,DisGeNET,35,Dystonia,,-34,7.9,19,30182,453,487,58,12,1.5,51|95|549|1352|1355|1629|1644|1737|1738|2058|2571|2639|2643|2720|2821|3242|3251|4191|4329|4508|4512|4513|4514|4519|4535|4536|4537|4695|4704|4719|4723|4724|4728|4729|5160|5279|6389|6392|6821|7167|7991|8560|8803|8867|9091|9524|9533|11128|26275|27010|51079|51227|51733|54802|55703|55967|79947|374291,ACOX1|ACY1|AUH|COX10|COX15|DBT|DDC|DLAT|DLD|EPRS1|GAD1|GCDH|GCH1|GLB1|GPI|HPD|HPRT1|MDH2|ALDH6A1|ATP6|COX1|COX2|COX3|CYTB|ND1|ND2|ND3|NDUFA2|NDUFA9|NDUFS1|NDUFV1|NDUFS4|NDUFS8|NDUFV2|PDHA1|PIGC|SDHA|SDHD|SUOX|TPI1|TUSC3|DEGS1|SUCLA2|SYNJ1|PIGQ|TECR|POLR1C|POLR3A|HIBCH|TPK1|NDUFA13|PIGP|UPB1|TRIT1|POLR3B|NDUFA12|DHDDS|NDUFS7,-30,0
1,-33,C1836440,M1,1,0,DisGeNET,35,Increased serum lactate,,-33,14,22,30182,169,487,39,8,1.2,38|1340|1352|1355|1537|1738|2806|3155|3939|4191|4508|4512|4513|4514|4535|4536|4537|4695|4704|4715|4719|4723|4724|4728|4729|4967|5091|5160|6389|6392|7381|8867|11019|26275|27235|51079|55163|55967|374291,ACAT1|COX6B1|COX10|COX15|CYC1|DLD|GOT2|HMGCL|LDHA|MDH2|ATP6|COX1|COX2|COX3|ND1|ND2|ND3|NDUFA2|NDUFA9|NDUFB9|NDUFS1|NDUFV1|NDUFS4|NDUFS8|NDUFV2|OGDH|PC|PDHA1|SDHA|SDHD|UQCRB|SYNJ1|LIAS|HIBCH|COQ2|NDUFA13|PNPO|NDUFA12|NDUFS7,-29,0
1,-30,C0151889,M1,1,0,DisGeNET,35,Hyperreflexia,,-30,6.7,17,30182,539,487,58,12,1.5,51|271|275|440|549|767|1352|1355|1644|1737|1798|2571|2643|2653|2731|2752|3251|3614|4508|4535|4536|4537|4668|4695|4704|4719|4723|4724|4728|4729|5053|5160|5277|5832|6389|6392|6709|8733|10195|10243|11128|23556|26275|27235|29968|51079|51102|51218|55703|55967|57704|79796|79947|85365|132158|138050|374291|440138,ACOX1|AMPD2|AMT|ASNS|AUH|CA8|COX10|COX15|DDC|DLAT|DPAGT1|GAD1|GCH1|GCSH|GLDC|GLUL|HPRT1|IMPDH1|ATP6|ND1|ND2|ND3|NAGA|NDUFA2|NDUFA9|NDUFS1|NDUFV1|NDUFS4|NDUFS8|NDUFV2|PAH|PDHA1|PIGA|ALDH18A1|SDHA|SDHD|SPTAN1|GPAA1|ALG3|GPHN|POLR3A|PIGN|HIBCH|COQ2|PSAT1|NDUFA13|MECR|GLRX5|POLR3B|NDUFA12|GBA2|ALG9|DHDDS|ALG2|GLYCTK|HGSNAT|NDUFS7|ALG11,-26,0
1,-28,C0232466,M1,1,0,DisGeNET,35,Feeding difficulties,,-28,6.9,17,30182,473,487,53,11,1.4,440|513|529|1719|1738|2058|2592|2673|2806|3704|4191|4329|4338|4535|4536|4537|4694|4700|4715|4716|4719|4723|4724|4726|4728|4729|5373|5422|5426|5430|5723|5813|5832|7360|8802|8818|8867|9091|10243|10588|11019|11128|26227|26275|51218|51227|55163|79087|79947|94005|201595|374291|440138,ASNS|ATP5F1D|ATP6V1E1|DHFR|DLD|EPRS1|GALT|GFPT1|GOT2|ITPA|MDH2|ALDH6A1|MOCS2|ND1|ND2|ND3|NDUFA1|NDUFA6|NDUFB9|NDUFB10|NDUFS1|NDUFV1|NDUFS4|NDUFS6|NDUFS8|NDUFV2|PMM2|POLA1|POLE|POLR2A|PSPH|PURA|ALDH18A1|UGP2|SUCLG1|DPM2|SYNJ1|PIGQ|GPHN|MTHFS|LIAS|POLR3A|PHGDH|HIBCH|GLRX5|PIGP|PNPO|ALG12|DHDDS|PIGS|STT3B|NDUFS7|ALG11,-25,0
1,-27,C0220981,M1,1,0,DisGeNET,35,Metabolic acidosis,,-27,20,22,30182,85,487,27,5.5,1,34|38|189|549|1738|1807|2203|2271|2592|2639|2710|3141|3155|3242|3712|4329|4695|4700|4704|4723|4967|7381|23417|26275|55163|132158|374291,ACADM|ACAT1|AGXT|AUH|DLD|DPYS|FBP1|FH|GALT|GCDH|GK|HLCS|HMGCL|HPD|IVD|ALDH6A1|NDUFA2|NDUFA6|NDUFA9|NDUFV1|OGDH|UQCRB|MLYCD|HIBCH|PNPO|GLYCTK|NDUFS7,-24,0
