_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-8,L1k:323689,M1,1,0,L1000 shRNA,91,shRNA:CGS001-8801:SUCLG2@A549@1uL:96h (DN),,-8,8.2,8.9,10173,39,383,12,3.1,0.89,513|847|2597|4704|5236|5441|6184|7086|7167|7371|54205|55748,ATP5F1D|CAT|GAPDH|NDUFA9|PGM1|POLR2L|RPN1|TKT|TPI1|UCK2|CYCS|CNDP2,-4.1,0
1,-7.7,L1k:303957,M1,1,0,L1000 shRNA,91,shRNA:CGS001-51750:RTEL1@HCC515@2uL:96h (DN),,-7.7,5.2,7.8,10173,87,383,17,4.4,1.1,533|1503|1738|2224|4726|5223|5438|5441|6184|6389|6391|7167|7389|8560|10269|51727|55256,ATP6V0B|CTPS1|DLD|FDPS|NDUFS6|PGAM1|POLR2I|POLR2L|RPN1|SDHA|SDHC|TPI1|UROD|DEGS1|ZMPSTE24|CMPK1|ADI1,-4,0
1,-7.6,L1k:287192,M1,1,0,L1000 shRNA,91,shRNA:CGS001-22891:ZNF365@MCF7@2uL:96h (DN),,-7.6,6.9,8.3,10173,50,383,13,3.4,0.93,514|622|1337|2023|2643|2821|4726|6117|6184|7086|7298|10476|51005,ATP5F1E|BDH1|COX6A1|ENO1|GCH1|GPI|NDUFS6|RPA1|RPN1|TKT|TYMS|ATP5PD|AMDHD2,-4,0
1,-7.6,L1k:323498,M1,1,0,L1000 shRNA,91,shRNA:CGS001-874:CBR3@MCF7@2uL:96h (DN),,-7.6,4.8,7.5,10173,100,383,18,4.7,1.1,128|471|533|622|1537|2184|2762|3251|4719|5198|5226|5440|6184|6652|6723|7358|51495|55163,ADH5|ATIC|ATP6V0B|BDH1|CYC1|FAH|GMDS|HPRT1|NDUFS1|PFAS|PGD|POLR2K|RPN1|SORD|SRM|UGDH|HACD3|PNPO,-4,0
1,-7.1,L1k:322080,M1,1,0,L1000 shRNA,91,shRNA:CGS001-847:CAT@A549@1uL:96h (DN),,-7.1,5.1,7.4,10173,84,383,16,4.2,1,38|847|2539|3417|4190|4698|5162|5236|5441|6390|7086|7167|7358|7390|26227|51382,ACAT1|CAT|G6PD|IDH1|MDH1|NDUFA5|PDHB|PGM1|POLR2L|SDHB|TKT|TPI1|UGDH|UROS|PHGDH|ATP6V1D,-3.6,0
1,-6.8,L1k:277237,M1,1,0,L1000 shRNA,91,shRNA:CGS001-10544:PROCR@A549@1uL:96h (DN),,-6.8,4.5,7,10173,100,383,17,4.4,1.1,2539|3157|3417|4704|4726|4860|5223|5441|6184|6389|7086|7167|7298|8879|51382|55748|57016,G6PD|HMGCS1|IDH1|NDUFA9|NDUFS6|PNP|PGAM1|POLR2L|RPN1|SDHA|TKT|TPI1|TYMS|SGPL1|ATP6V1D|CNDP2|AKR1B10,-3.5,0
1,-6.8,L1k:279621,M1,1,0,L1000 shRNA,91,shRNA:CGS001-11215:AKAP11@MCF7@2uL:96h (DN),,-6.8,4.5,7,10173,100,383,17,4.4,1.1,47|435|506|533|1329|1337|2224|2821|5438|5440|5536|6391|7298|8772|9488|51005|54205,ACLY|ASL|ATP5F1B|ATP6V0B|COX5B|COX6A1|FDPS|GPI|POLR2I|POLR2K|PPP5C|SDHC|TYMS|FADD|PIGB|AMDHD2|CYCS,-3.5,0
1,-6.8,L1k:289248,M1,1,0,L1000 shRNA,91,shRNA:CGS001-23670:TMEM2@A549@1uL:96h (DN),,-6.8,4.5,7,10173,100,383,17,4.4,1.1,847|2058|2539|2954|3988|5723|6184|7167|7298|10026|10195|23463|29968|51382|54205|55748|57016,CAT|EPRS1|G6PD|GSTZ1|LIPA|PSPH|RPN1|TPI1|TYMS|PIGK|ALG3|ICMT|PSAT1|ATP6V1D|CYCS|CNDP2|AKR1B10,-3.5,0
1,-6.8,L1k:292761,M1,1,0,L1000 shRNA,91,shRNA:CGS001-28960:DCPS@MCF7@2uL:96h (DN),,-6.8,4.5,7,10173,100,383,17,4.4,1.1,128|191|445|501|1738|1798|2058|3251|4329|5198|5440|7298|7381|8772|27235|51082|55256,ADH5|AHCY|ASS1|ALDH7A1|DLD|DPAGT1|EPRS1|HPRT1|ALDH6A1|PFAS|POLR2K|TYMS|UQCRB|FADD|COQ2|POLR1D|ADI1,-3.5,0
1,-6.8,L1k:294490,M1,1,0,L1000 shRNA,91,shRNA:CGS001-3157:HMGCS1@NPC@1.5uL:96h (DN),,-6.8,4.5,7,10173,100,383,17,4.4,1.1,128|514|1738|2023|3157|5198|5441|6184|6723|7167|7298|7390|9524|10726|26227|29796|51495,ADH5|ATP5F1E|DLD|ENO1|HMGCS1|PFAS|POLR2L|RPN1|SRM|TPI1|TYMS|UROS|TECR|NUDC|PHGDH|UQCR10|HACD3,-3.5,0
